Position (mm),Force (N),Strain (%),Time (min)
"0,00","0,00","0,00","0,00273"
"0,00335","49,6","0,00123","0,00709"
"0,00800",118,"0,00282","0,0115"
"0,0124",178,"0,00424","0,0158"
"0,0170",229,"0,00562","0,0202"
"0,0211",270,"0,00668","0,0245"
"0,0260",308,"0,00775","0,0289"
"0,0300",346,"0,00881","0,0333"
"0,0342",381,"0,00970","0,0376"
"0,0390",365,"0,00933","0,0420"
"0,0430",400,"0,0102","0,0463"
"0,0473",424,"0,0108","0,0507"
"0,0520",444,"0,0113","0,0551"
"0,0561",462,"0,0118","0,0594"
"0,0605",477,"0,0122","0,0638"
"0,0650",485,"0,0123","0,0681"
"0,0692",482,"0,0122","0,0725"
"0,0736",471,"0,0117","0,0769"
"0,0780",453,"0,0110","0,0812"
"0,0823",435,"0,0103","0,0856"
"0,0870",433,"0,0103","0,0899"
"0,0911",435,"0,0102","0,0943"
"0,0954",439,"0,0102","0,0987"
"0,100",450,"0,0103","0,103"
"0,104",472,"0,0109","0,107"
"0,109",499,"0,0115","0,112"
"0,113",528,"0,0123","0,116"
"0,117",556,"0,0130","0,120"
"0,122",586,"0,0137","0,125"
"0,126",615,"0,0143","0,129"
"0,130",641,"0,0151","0,134"
"0,135",669,"0,0158","0,138"
"0,139",697,"0,0164","0,142"
"0,144",725,"0,0171","0,147"
"0,148",751,"0,0177","0,151"
"0,152",776,"0,0183","0,155"
"0,157",804,"0,0190","0,160"
"0,161",828,"0,0196","0,164"
"0,165",853,"0,0202","0,168"
"0,170",879,"0,0208","0,173"
"0,174",904,"0,0214","0,177"
"0,178",928,"0,0220","0,182"
"0,183",954,"0,0226","0,186"
"0,187",978,"0,0231","0,190"
"0,191",1000,"0,0237","0,195"
"0,196",1030,"0,0241","0,199"
"0,200",1050,"0,0246","0,203"
"0,204",852,"0,0172","0,208"
"0,209",888,"0,0178","0,212"
"0,213",937,"0,0188","0,216"
"0,218",980,"0,0197","0,221"
"0,222",1020,"0,0206","0,225"
"0,226",1060,"0,0213","0,229"
"0,231",1080,"0,0218","0,234"
"0,235",1100,"0,0222","0,238"
"0,239",1120,"0,0227","0,243"
"0,244",1150,"0,0232","0,247"
"0,248",1170,"0,0235","0,251"
"0,252",1190,"0,0240","0,256"
"0,257",1210,"0,0245","0,260"
"0,261",1230,"0,0248","0,264"
"0,265",1250,"0,0253","0,269"
"0,270",1270,"0,0258","0,273"
"0,274",1290,"0,0262","0,277"
"0,279",1310,"0,0267","0,282"
"0,283",1330,"0,0272","0,286"
"0,287",1360,"0,0275","0,291"
"0,292",1370,"0,0280","0,295"
"0,296",1400,"0,0283","0,299"
"0,300",1410,"0,0288","0,304"
"0,305",1430,"0,0292","0,308"
"0,309",1450,"0,0295","0,312"
"0,314",1470,"0,0300","0,317"
"0,318",1490,"0,0303","0,321"
"0,322",1500,"0,0307","0,325"
"0,327",1520,"0,0310","0,330"
"0,331",1540,"0,0315","0,334"
"0,335",1560,"0,0318","0,339"
"0,340",1570,"0,0322","0,343"
