Position (mm);Force (N);Strain (%);Time (min)
0,00;0,00;0,000333;0,00277
0,00358;64,2;0,000764;0,00725
0,00800;135;0,00133;0,0117
0,0130;188;0,00167;0,0162
0,0174;235;0,00200;0,0207
0,0220;278;0,00233;0,0252
0,0266;318;0,00267;0,0297
0,0312;354;0,00300;0,0341
0,0350;384;0,00330;0,0386
0,0400;337;0,00373;0,0431
0,0440;388;0,00433;0,0476
0,0490;420;0,00483;0,0521
0,0532;444;0,00517;0,0565
0,0580;467;0,00550;0,0610
0,0624;486;0,00574;0,0655
0,0669;501;0,00615;0,0700
0,0710;518;0,00633;0,0745
0,0760;533;0,00667;0,0789
0,0800;546;0,00683;0,0834
0,0850;562;0,00717;0,0879
0,0891;577;0,00733;0,0924
0,0936;584;0,00750;0,0969
0,0983;604;0,00783;0,101
0,103;616;0,00800;0,106
0,107;636;0,00824;0,110
0,112;652;0,00851;0,115
0,116;671;0,00883;0,119
0,121;689;0,00900;0,124
0,125;708;0,00933;0,128
0,129;726;0,00950;0,133
0,134;745;0,00985;0,137
0,139;766;0,0102;0,142
0,143;784;0,0103;0,146
0,147;801;0,0105;0,151
0,152;822;0,0108;0,155
0,156;840;0,0110;0,160
0,161;859;0,0113;0,164
0,165;881;0,0115;0,169
0,170;900;0,0118;0,173
0,175;918;0,0120;0,178
0,179;937;0,0122;0,182
0,184;957;0,0125;0,186
0,188;974;0,0128;0,191
0,192;992;0,0132;0,195
0,197;1010;0,0132;0,200
0,201;1030;0,0135;0,204
0,206;1040;0,0137;0,209
0,210;1060;0,0138;0,213
0,215;1080;0,0142;0,218
0,219;1090;0,0143;0,222
0,224;1110;0,0145;0,227
0,228;1130;0,0148;0,231
0,232;1140;0,0150;0,236
0,237;1150;0,0153;0,240
0,242;1170;0,0155;0,245
0,246;1190;0,0158;0,249
0,251;1200;0,0160;0,254
0,255;1210;0,0162;0,258
0,260;1230;0,0165;0,263
0,264;1240;0,0166;0,267
0,268;1260;0,0168;0,272
0,273;1270;0,0170;0,276
0,277;1290;0,0170;0,281
0,282;1300;0,0172;0,285
0,287;1310;0,0172;0,290
0,291;1330;0,0173;0,294
0,295;1340;0,0175;0,299
0,300;1350;0,0177;0,303
0,304;1370;0,0177;0,307
