Position (mm);Force (N);Strain (%);Time (min)
0,00;1,67;0,000333;0,00363
0,00400;77,9;0,000865;0,00844
0,00900;175;0,00150;0,0132
0,0140;247;0,00200;0,0181
0,0190;170;-0,000558;0,0229
0,0236;190;-0,00133;0,0277
0,0288;203;-0,00213;0,0325
0,0330;222;-0,00301;0,0373
0,0380;258;-0,00350;0,0421
0,0430;303;-0,00333;0,0469
0,0478;346;-0,00317;0,0517
0,0520;387;-0,00300;0,0565
0,0572;424;-0,00283;0,0614
0,0620;455;-0,00267;0,0662
0,0670;484;-0,00267;0,0710
0,0719;510;-0,00267;0,0758
0,0770;534;-0,00267;0,0806
0,0814;550;-0,00267;0,0854
0,0860;564;-0,00283;0,0902
0,0910;575;-0,00283;0,0950
0,0960;581;-0,00283;0,0998
0,100;577;-0,00300;0,105
0,106;579;-0,00300;0,109
0,110;603;-0,00300;0,114
0,115;635;-0,00267;0,119
0,120;664;-0,00250;0,124
0,125;689;-0,00233;0,129
0,130;694;-0,00233;0,134
0,134;608;-0,00300;0,138
0,139;600;-0,00317;0,143
0,144;586;-0,00333;0,148
0,149;576;-0,00350;0,153
0,154;572;-0,00367;0,158
0,158;575;-0,00367;0,162
0,163;582;-0,00367;0,167
0,168;588;-0,00383;0,172
0,173;596;-0,00379;0,177
0,178;603;-0,00383;0,182
0,182;611;-0,00383;0,186
0,187;623;-0,00383;0,191
0,192;636;-0,00383;0,196
0,197;650;-0,00383;0,201
0,201;662;-0,00383;0,206
0,207;675;-0,00367;0,210
0,211;690;-0,00367;0,215
0,216;705;-0,00367;0,220
0,221;720;-0,00367;0,225
0,225;732;-0,00360;0,230
0,231;750;-0,00350;0,235
0,235;768;-0,00334;0,239
0,240;784;-0,00333;0,244
0,245;798;-0,00333;0,249
0,250;806;-0,00333;0,254
0,255;822;-0,00317;0,259
0,259;835;-0,00317;0,263
0,264;849;-0,00300;0,268
0,269;863;-0,00300;0,273
0,274;878;-0,00286;0,278
0,279;892;-0,00283;0,283
0,283;907;-0,00283;0,287
0,288;924;-0,00267;0,292
0,293;937;-0,00267;0,297
0,298;950;-0,00250;0,302
0,302;964;-0,00250;0,307
0,307;979;-0,00233;0,311
0,312;993;-0,00233;0,316
0,317;1010;-0,00217;0,321
0,322;1020;-0,00217;0,326
0,326;1030;-0,00210;0,331
0,332;1050;-0,00183;0,336
0,336;1060;-0,00183;0,340
0,341;1070;-0,00167;0,345
0,346;1080;-0,00150;0,350
0,351;1100;-0,00150;0,355
0,356;1100;-0,00133;0,360
0,360;1090;-0,00117;0,364
0,365;1100;-0,00117;0,369
0,370;1120;-0,00100;0,374
0,375;1130;-0,00100;0,379
0,380;1140;-0,00100;0,384
0,384;1150;-0,000833;0,388
0,390;1160;-0,000833;0,393
0,394;1170;-0,000667;0,398
0,399;1180;-0,000500;0,403
0,404;1190;-0,000500;0,408
0,408;1210;-0,000333;0,413
0,414;1220;-0,000167;0,417
0,418;1230;-0,000167;0,422
0,423;1240;0,00;0,427
0,428;1260;0,000167;0,432
0,433;1270;0,000167;0,437
0,437;1280;0,000333;0,441
0,442;1300;0,000500;0,446
0,447;1320;0,000667;0,451
0,452;1330;0,000833;0,456
0,457;1350;0,000833;0,461
0,461;1360;0,00102;0,465
0,466;1380;0,00117;0,470
0,471;1400;0,00133;0,475
0,476;1410;0,00150;0,480
0,481;1430;0,00167;0,485
0,485;1440;0,00183;0,489
0,490;1460;0,00200;0,494
0,495;1480;0,00217;0,499
0,500;1490;0,00233;0,504
0,505;1510;0,00250;0,509
0,509;1520;0,00267;0,514
0,515;1540;0,00283;0,518
0,519;1560;0,00299;0,523
0,524;1570;0,00317;0,528
0,529;1590;0,00333;0,533
0,534;1610;0,00350;0,538
0,538;1630;0,00367;0,542
0,543;1650;0,00383;0,547
0,548;1670;0,00400;0,552
0,553;1690;0,00417;0,557
0,558;1710;0,00433;0,562
0,562;1720;0,00450;0,566
0,567;1740;0,00467;0,571
0,572;1760;0,00483;0,576
0,577;1780;0,00500;0,581
0,582;1800;0,00517;0,586
0,586;1820;0,00533;0,591
0,591;1840;0,00557;0,595
0,596;1860;0,00583;0,600
0,601;1880;0,00600;0,605
0,606;1900;0,00617;0,610
0,610;1920;0,00633;0,615
0,616;1940;0,00650;0,619
0,620;1960;0,00681;0,624
0,625;1980;0,00700;0,629
0,630;2010;0,00717;0,634
0,635;2030;0,00733;0,639
0,639;2050;0,00750;0,643
0,644;2070;0,00783;0,648
0,649;2100;0,00800;0,653
0,654;2120;0,00817;0,658
0,659;2140;0,00833;0,663
0,663;2160;0,00867;0,667
0,668;2180;0,00883;0,672
0,673;2210;0,00908;0,677
0,678;2230;0,00933;0,682
0,683;2260;0,00950;0,687
0,687;2280;0,00983;0,692
0,692;2310;0,0100;0,696
0,697;2330;0,0102;0,701
0,702;2350;0,0105;0,706
0,707;2380;0,0107;0,711
0,711;2400;0,0108;0,716
0,717;2420;0,0112;0,720
0,721;2450;0,0113;0,725
0,726;2470;0,0117;0,730
0,731;2500;0,0118;0,735
0,736;2520;0,0120;0,740
0,740;2550;0,0123;0,744
0,745;2570;0,0125;0,749
0,750;2600;0,0127;0,754
0,755;2620;0,0130;0,759
0,760;2650;0,0132;0,764
0,765;2670;0,0133;0,768
0,769;2700;0,0137;0,773
0,774;2720;0,0138;0,778
0,779;2750;0,0140;0,783
0,784;2650;0,0117;0,788
0,789;2320;0,00200;0,793
0,793;2420;0,00267;0,797
0,798;2510;0,00333;0,802
0,803;2600;0,00397;0,807
0,808;2680;0,00450;0,812
0,812;2750;0,00483;0,817
0,818;2800;0,00517;0,821
0,822;2830;0,00550;0,826
0,827;2860;0,00583;0,831
0,832;2880;0,00600;0,836
0,836;2900;0,00617;0,841
0,842;2920;0,00633;0,845
0,846;2950;0,00666;0,850
0,851;2980;0,00683;0,855
0,856;3000;0,00707;0,860
0,861;3030;0,00733;0,865
0,866;3060;0,00750;0,870
0,870;3090;0,00783;0,874
0,875;3110;0,00800;0,879
0,880;3140;0,00817;0,884
0,885;3170;0,00850;0,889
0,889;3200;0,00867;0,894
0,894;3220;0,00900;0,898
0,899;3250;0,00917;0,903
0,904;3280;0,00950;0,908
0,909;3310;0,00967;0,913
0,913;3330;0,0100;0,918
0,919;3360;0,0102;0,922
0,923;3390;0,0105;0,927
0,928;3420;0,0107;0,932
0,933;3450;0,0109;0,937
0,937;3480;0,0112;0,942
0,943;3510;0,0113;0,946
0,947;3530;0,0117;0,951
0,952;3560;0,0118;0,956
0,957;3590;0,0122;0,961
0,962;3620;0,0123;0,966
0,967;3650;0,0125;0,971
0,971;3680;0,0128;0,975
0,976;3710;0,0131;0,980
0,981;3740;0,0133;0,985
0,986;3770;0,0136;0,990
0,990;3800;0,0138;0,995
0,995;3830;0,0140;0,999
1,00;3860;0,0143;1,00
1,00;3890;0,0145;1,01
1,01;3910;0,0148;1,01
1,01;3940;0,0150;1,02
1,02;3970;0,0153;1,02
